time,temperature
0,59.80921924421226
1,59.91396149892205
2,59.958639446657834
3,60.18876876573402
4,60.055655312453375
5,59.86645184309001
6,60.04860362894176
7,59.84526960110616
8,60.10826910538871
9,59.95288753481821
10,59.99063638112608
11,60.13257966475422
12,59.871283643141574
13,59.8602881814887
14,59.9416400673654
15,60.10383788510193
16,59.84806539245231
17,59.716784440188945
18,59.9548841141591
19,60.05517407999109
20,60.12002617497388
21,59.95368386379146
22,59.9588573392884
23,60.11539007342557
24,59.813025830030455
25,59.9611479224817
26,60.0190423889925
27,60.044921872128505
28,59.94901933068091
29,60.00344410117059
30,59.751167264658704
31,59.934175158766614
32,60.045350871255444
33,59.90177059657453
34,60.00589842215896
35,60.04468725008027
36,59.96574507991422
37,60.01704637709966
38,59.90372674347154
39,59.9793388720304
40,60.061021616958925
41,60.015697296096846
42,59.94134687304361
43,60.02242164042908
44,60.07146097906366
45,59.795005872142255
46,60.11590740649559
47,59.966374526131894
48,60.042548993324026
49,60.11972469236452
50,59.862832630276955
51,59.929055899757245
52,59.97114513041243
53,59.921624647887555
54,60.173493657583684
55,59.91432279061732
56,59.944445322051315
57,60.0204389031603
58,59.87978504739239
59,59.96043192882437
60,60.03174532612502
61,59.96671395956175
62,59.99066131411001
63,59.947066788755166
64,59.84855296908192
65,60.032159321133925
66,60.17549330716472
67,60.00184016307834
68,60.022526411724755
69,60.069272275511686
70,59.87306695034533
71,60.17025146581296
72,60.02023287964228
73,60.163185689908914
74,59.9266967004476
75,60.181806192255785
76,60.07751554940348
77,60.05530400858524
78,60.023402445435316
79,59.975147138192554
80,60.12005316584739
81,60.0140359869848
82,59.80329302964128
83,59.8882813538293
84,59.98141542478073
85,60.03099989831656
86,59.994341151110014
87,60.121897078979366
88,59.80488981359614
89,60.014358793650516
90,59.81820207746129
91,60.075971229548415
92,59.9905541285558
93,60.04196099720241
94,59.91361170394102
95,60.12794649316577
96,60.104172466405885
97,60.058354430301186
98,59.987048275313654
99,60.057985728529516
100,59.92931074320126
101,60.08555556590207
102,60.16494808943239
103,60.10706105599792
104,59.92703975301926
105,60.03614173172731
106,59.87068584562414
107,60.05723903111757
108,60.04506034128625
109,59.813018366046784
110,59.88382161560877
111,59.97168611032562
112,59.96991402528592
113,59.87905230645812
114,60.038897872935216
115,60.02514736089405
116,59.980573086802146
117,59.924420849984166
118,60.104870712641656
119,60.16554071130883
120,59.951643851615344
121,59.93878330828452
122,60.0491207665412
123,59.9641970620253
124,59.986060279933675
125,60.073965315172465
126,59.80906439124927
127,60.131830232485264
128,60.007268052432934
129,59.95885068554378
130,59.991076584577854
131,59.99624293550205
132,59.82687986965551
133,60.14949382274532
134,60.00413256322706
135,60.044300213044735
136,60.095154977057405
137,59.89788375424397
138,60.047347189903526
139,59.97323589091012
140,60.08467707752165
141,59.78727725796485
142,59.99009056997588
143,59.9397179344216
144,60.04322629506341
145,60.04700441873682
146,59.9292374105178
147,59.9287826135824
148,59.988933463144264
149,59.91033577726848
150,60.08419836954521
151,59.96307927995525
152,59.70930117806783
153,59.96251779433782
154,59.8961456179156
155,59.83687241845391
156,59.876257336177744
157,60.0109408471833
158,60.132864082824824
159,60.0313184473865
160,59.939349661178426
161,60.04559041951707
162,59.9540909689781
163,59.93053996308369
164,59.884563733176705
165,59.82481711932483
166,59.96100762934405
167,60.01580534899201
168,59.99033763299851
169,59.958403307205266
170,59.90542539393032
171,60.0608246191685
172,59.868286808005344
173,60.07760279138435
174,59.89977829810733
175,59.9247564762647
176,59.85332148093843
177,59.94985978531144
178,60.0975312458478
179,60.051562808844395
180,60.0978422112028
181,60.052214254593395
182,59.88963301714696
183,59.96692107756724
184,59.92198008708825
185,60.13305749040391
186,59.88032113535737
187,60.08936976893891
188,60.08929538701088
189,60.18296202017161
190,59.95903134073705
191,60.07123221595802
192,60.228165183653886
193,59.93823583230663
194,59.84649597524676
195,59.811998996609226
196,60.07127120288613
197,59.81168497919414
198,59.962768094706206
199,60.0437313187039
200,60.01851755368299
201,60.042544486418414
202,60.022228985580085
203,60.12788658133134
204,59.90476836192612
205,59.93230048615415
206,59.922734055472915
207,60.08301918118626
208,60.0900398588395
209,60.04512253193185
210,60.118349366688996
211,59.882195913262365
212,60.16672241115511
213,60.15232386217122
214,60.07356219972458
215,60.178179890877104
216,59.83433767923222
217,59.947555186373734
218,59.926469653931804
219,60.072147932375735
220,59.89498592603979
221,60.07574951493375
222,60.13705361439967
223,60.0695202900084
224,60.02837510236615
225,59.901212665909924
226,59.91531490338746
227,60.12496189052967
